event_time_s,event_type,frame,sequence,latency_ms,jitter_ms
0.000000,SEND,1,0,,
0.000000,TX_START,1,0,,
0.000000,TX_START,1,0,,
0.001000,SEND,1,1,,
0.001000,TX_START,1,1,,
0.002000,SEND,1,2,,
0.002000,TX_START,1,2,,
0.003000,SEND,1,3,,
0.003000,TX_START,1,3,,
0.004000,SEND,1,4,,
0.004000,TX_START,1,4,,
0.005000,SEND,1,5,,
0.005000,TX_START,1,5,,
0.006000,SEND,1,6,,
0.006000,TX_START,1,6,,
0.007000,SEND,1,7,,
0.007000,TX_START,1,7,,
0.008000,SEND,1,8,,
0.008000,TX_START,1,8,,
0.008496,TX_START,1,1,,
0.009000,SEND,1,9,,
0.009000,TX_START,1,9,,
0.010000,SEND,1,10,,
0.010000,TX_START,1,10,,
0.011000,SEND,1,11,,
0.011000,TX_START,1,11,,
0.012000,SEND,1,12,,
0.012000,TX_START,1,12,,
0.013000,SEND,1,13,,
0.013000,TX_START,1,13,,
0.014000,SEND,1,14,,
0.014000,TX_START,1,14,,
0.015000,SEND,1,15,,
0.015000,TX_START,1,15,,
0.016000,SEND,1,16,,
0.016000,TX_START,1,16,,
0.016992,TX_START,1,2,,
0.017000,SEND,1,17,,
0.017000,TX_START,1,17,,
0.018000,SEND,1,18,,
0.018000,TX_START,1,18,,
0.018496,RECEIVE,1,0,18.496000,
0.019000,SEND,1,19,,
0.019000,TX_START,1,19,,
0.020000,SEND,1,20,,
0.020000,TX_START,1,20,,
0.021000,SEND,1,21,,
0.021000,TX_START,1,21,,
0.022000,SEND,1,22,,
0.022000,TX_START,1,22,,
0.023000,SEND,1,23,,
0.023000,TX_START,1,23,,
0.024000,SEND,1,24,,
0.024000,TX_START,1,24,,
0.025000,SEND,1,25,,
0.025000,TX_START,1,25,,
0.025488,TX_START,1,3,,
0.026000,SEND,1,26,,
0.026000,TX_START,1,26,,
0.026992,RECEIVE,1,1,25.992000,7.496000
0.027000,SEND,1,27,,
0.027000,TX_START,1,27,,
0.028000,SEND,1,28,,
0.028000,TX_START,1,28,,
0.029000,SEND,1,29,,
0.029000,TX_START,1,29,,
0.030000,SEND,1,30,,
0.030000,TX_START,1,30,,
0.031000,SEND,1,31,,
0.031000,TX_START,1,31,,
0.032000,SEND,1,32,,
0.032000,TX_START,1,32,,
0.033000,SEND,1,33,,
0.033000,TX_START,1,33,,
0.033984,TX_START,1,4,,
0.034000,SEND,1,34,,
0.034000,TX_START,1,34,,
0.035000,SEND,1,35,,
0.035000,TX_START,1,35,,
0.035488,RECEIVE,1,2,33.488000,7.496000
0.036000,SEND,1,36,,
0.036000,TX_START,1,36,,
0.037000,SEND,1,37,,
0.037000,TX_START,1,37,,
0.038000,SEND,1,38,,
