Sequence,Frame,Bytes,SendTime,TxStartTime,ReceiveTime,DropTime,Status,LatencyMs
0,1,1032,0,0,0.0108496,-1,RECEIVED,10.8496
1,1,1032,0.001,0.001,0.0118496,-1,RECEIVED,10.8496
2,1,1032,0.002,0.002,0.0128496,-1,RECEIVED,10.8496
3,1,1032,0.003,0.003,0.0138496,-1,RECEIVED,10.8496
4,1,1032,0.004,0.004,0.0148496,-1,RECEIVED,10.8496
5,1,1032,0.005,0.005,0.0158496,-1,RECEIVED,10.8496
6,1,1032,0.006,0.006,0.0168496,-1,RECEIVED,10.8496
7,1,1032,0.007,0.007,0.0178496,-1,RECEIVED,10.8496
8,1,1032,0.008,0.008,0.0188496,-1,RECEIVED,10.8496
9,1,1032,0.009,0.009,0.0198496,-1,RECEIVED,10.8496
10,1,1032,0.01,0.01,0.0208496,-1,RECEIVED,10.8496
11,1,1032,0.011,0.011,0.0218496,-1,RECEIVED,10.8496
12,1,1032,0.012,0.012,0.0228496,-1,RECEIVED,10.8496
13,1,1032,0.013,0.013,0.0238496,-1,RECEIVED,10.8496
14,1,1032,0.014,0.014,0.0248496,-1,RECEIVED,10.8496
15,1,1032,0.015,0.015,0.0258496,-1,RECEIVED,10.8496
16,1,1032,0.016,0.016,0.0268496,-1,RECEIVED,10.8496
17,1,1032,0.017,0.017,0.0278496,-1,RECEIVED,10.8496
18,1,1032,0.018,0.018,0.0288496,-1,RECEIVED,10.8496
19,1,1032,0.019,0.019,0.0298496,-1,RECEIVED,10.8496
20,1,1032,0.02,0.02,0.0308496,-1,RECEIVED,10.8496
21,1,1032,0.021,0.021,0.0318496,-1,RECEIVED,10.8496
22,1,1032,0.022,0.022,0.0328496,-1,RECEIVED,10.8496
23,1,1032,0.023,0.023,0.0338496,-1,RECEIVED,10.8496
24,1,1032,0.024,0.024,0.0348496,-1,RECEIVED,10.8496
25,1,1032,0.025,0.025,0.0358496,-1,RECEIVED,10.8496
26,1,1032,0.026,0.026,0.0368496,-1,RECEIVED,10.8496
27,1,1032,0.027,0.027,0.0378496,-1,RECEIVED,10.8496
28,1,1032,0.028,0.028,0.0388496,-1,RECEIVED,10.8496
29,1,1032,0.029,0.029,0.0398496,-1,RECEIVED,10.8496
30,1,1032,0.03,0.03,0.0408496,-1,RECEIVED,10.8496
31,1,1032,0.031,0.031,0.0418496,-1,RECEIVED,10.8496
32,1,1032,0.032,0.032,0.0428496,-1,RECEIVED,10.8496
33,1,1032,0.033,0.033,0.0438496,-1,RECEIVED,10.8496
34,1,1032,0.034,0.034,0.0448496,-1,RECEIVED,10.8496
35,1,1032,0.035,0.035,0.0458496,-1,RECEIVED,10.8496
36,1,1032,0.036,0.036,0.0468496,-1,RECEIVED,10.8496
37,1,1032,0.037,0.037,0.0478496,-1,RECEIVED,10.8496
38,1,1032,0.038,0.038,0.0488496,-1,RECEIVED,10.8496
39,1,1032,0.039,0.039,0.0498496,-1,RECEIVED,10.8496
40,1,1032,0.04,0.04,0.0508496,-1,RECEIVED,10.8496
41,1,1032,0.041,0.041,0.0518496,-1,RECEIVED,10.8496
42,1,1032,0.042,0.042,0.0528496,-1,RECEIVED,10.8496
43,1,1032,0.043,0.043,0.0538496,-1,RECEIVED,10.8496
44,1,1032,0.044,0.044,0.0548496,-1,RECEIVED,10.8496
45,1,1032,0.045,0.045,0.0558496,-1,RECEIVED,10.8496
46,1,1032,0.046,0.046,0.0568496,-1,RECEIVED,10.8496
47,1,1032,0.047,0.047,0.0578496,-1,RECEIVED,10.8496
48,1,1032,0.048,0.048,0.0588496,-1,RECEIVED,10.8496
49,1,1032,0.049,0.049,0.0598496,-1,RECEIVED,10.8496
50,1,1032,0.05,0.05,0.0608496,-1,RECEIVED,10.8496
51,1,1032,0.051,0.051,0.0618496,-1,RECEIVED,10.8496
52,1,1032,0.052,0.052,0.0628496,-1,RECEIVED,10.8496
53,1,1032,0.053,0.053,0.0638496,-1,RECEIVED,10.8496
54,1,1032,0.054,0.054,0.0648496,-1,RECEIVED,10.8496
55,1,1032,0.055,0.055,0.0658496,-1,RECEIVED,10.8496
56,1,1032,0.056,0.056,0.0668496,-1,RECEIVED,10.8496
57,1,1032,0.057,0.057,0.0678496,-1,RECEIVED,10.8496
58,1,1032,0.058,0.058,0.0688496,-1,RECEIVED,10.8496
59,1,1032,0.059,0.059,0.0698496,-1,RECEIVED,10.8496
60,1,1032,0.06,0.06,0.0708496,-1,RECEIVED,10.8496
61,1,1032,0.061,0.061,0.0718496,-1,RECEIVED,10.8496
62,1,1032,0.062,0.062,0.0728496,-1,RECEIVED,10.8496
63,1,1032,0.063,0.063,0.0738496,-1,RECEIVED,10.8496
64,1,1032,0.064,0.064,0.0748496,-1,RECEIVED,10.8496
65,1,1032,0.065,0.065,0.0758496,-1,RECEIVED,10.8496
66,1,1032,0.066,0.066,0.0768496,-1,RECEIVED,10.8496
67,1,1032,0.067,0.067,0.0778496,-1,RECEIVED,10.8496
68,1,1032,0.068,0.068,0.0788496,-1,RECEIVED,10.8496
69,1,1032,0.069,0.069,0.0798496,-1,RECEIVED,10.8496
70,1,1032,0.07,0.07,0.0808496,-1,RECEIVED,10.8496
71,1,1032,0.071,0.071,0.0818496,-1,RECEIVED,10.8496
72,1,1032,0.072,0.072,0.0828496,-1,RECEIVED,10.8496
73,1,1032,0.073,0.073,0.0838496,-1,RECEIVED,10.8496
74,1,1032,0.074,0.074,0.0848496,-1,RECEIVED,10.8496
75,1,1032,0.075,0.075,0.0858496,-1,RECEIVED,10.8496
76,1,1032,0.076,0.076,0.0868496,-1,RECEIVED,10.8496
77,1,1032,0.077,0.077,0.0878496,-1,RECEIVED,10.8496
78,1,1032,0.078,0.078,0.0888496,-1,RECEIVED,10.8496
79,1,1032,0.079,0.079,0.0898496,-1,RECEIVED,10.8496
80,1,1032,0.08,0.08,0.0908496,-1,RECEIVED,10.8496
81,1,1032,0.081,0.081,0.0918496,-1,RECEIVED,10.8496
82,1,1032,0.082,0.082,0.0928496,-1,RECEIVED,10.8496
83,1,1032,0.083,0.083,0.0938496,-1,RECEIVED,10.8496
84,1,1032,0.084,0.084,0.0948496,-1,RECEIVED,10.8496
85,1,1032,0.085,0.085,0.0958496,-1,RECEIVED,10.8496
86,1,1032,0.086,0.086,0.0968496,-1,RECEIVED,10.8496
87,1,1032,0.087,0.087,0.0978496,-1,RECEIVED,10.8496
88,1,1032,0.088,0.088,0.0988496,-1,RECEIVED,10.8496
89,1,1032,0.089,0.089,0.0998496,-1,RECEIVED,10.8496
90,1,1032,0.09,0.09,0.10085,-1,RECEIVED,10.8496
91,1,1032,0.091,0.091,0.10185,-1,RECEIVED,10.8496
92,1,1032,0.092,0.092,0.10285,-1,RECEIVED,10.8496
93,1,222,0.093,0.093,0.103202,-1,RECEIVED,10.2016
94,2,1032,0.1,0.1,0.11085,-1,RECEIVED,10.8496
95,2,1032,0.101,0.101,0.11185,-1,RECEIVED,10.8496
96,2,1032,0.102,0.102,0.11285,-1,RECEIVED,10.8496
97,2,1032,0.103,0.103,0.11385,-1,RECEIVED,10.8496
98,2,1032,0.104,0.104,0.11485,-1,RECEIVED,10.8496
99,2,1032,0.105,0.105,0.11585,-1,RECEIVED,10.8496
100,2,1032,0.106,0.106,0.11685,-1,RECEIVED,10.8496
101,2,1032,0.107,0.107,0.11785,-1,RECEIVED,10.8496
102,2,1032,0.108,0.108,0.11885,-1,RECEIVED,10.8496
103,2,1032,0.109,0.109,0.11985,-1,RECEIVED,10.8496
104,2,1032,0.11,0.11,0.12085,-1,RECEIVED,10.8496
